Domain,Feed,Title,Category,Status,Score,OG-Images,Content Type,Creative Instance ID,Destination Domains,Channels
medium.com/starts-with-a-bang?source=rss----458a773bccd2---4,https://medium.com/feed/starts-with-a-bang,Starts With A Bang!,Science,Enabled,7.69,,article,,medium.com,Top Sources; Science
livescience.com,https://feeds.feedburner.com/Livesciencecom,Livescience.com,Science,Enabled,6.11,,article,,www.livescience.com,Top Sources; Science
scientificamerican.com,https://rss.sciam.com/ScientificAmerican-Global,Scientific American,Science,Enabled,5.31,,article,,www.scientificamerican.com,Top Sources; Science
popsci.com,https://www.popsci.com/feed/,Popular Science,Science,Enabled,4.9,,article,,www.popsci.com,Top Sources; Science
nature.com,https://feeds.nature.com/nature/rss/current,Nature,Science,Enabled,4.06,,article,,www.nature.com,Top Sources; Science
space.com,https://www.space.com/feeds/all,Space.com,Science,Enabled,3.91,,article,,www.space.com,Top Sources; Science
sciencemag.org,https://www.science.org/rss/news_current.xml,ScienceMag,Science,Enabled,3.68,,article,,www.science.org,Top Sources; Science
sciencealert.com,https://feeds.feedburner.com/sciencealert-latestnews,ScienceAlert,Science,Enabled,2.85,,article,,www.sciencealert.com,Top Sources; Science
nasa.gov,https://www.nasa.gov/rss/dyn/lg_image_of_the_day.rss,NASA Image of the Day,Science,Enabled,1.73,,article,,www.nasa.gov,Top Sources; Science; Photos
newscientist.com,https://feeds.newscientist.com/science-news/,New Scientist,Science,Enabled,1.71,,article,,www.newscientist.com,Top Sources; Science
arstechnica.com,https://feeds.arstechnica.com/arstechnica/science,Ars Technica,Science,Enabled,1.61,,article,,arstechnica.com,Top Sources; Science
smithsonianmag.com,https://feeds.feedburner.com/smithsonianmag/science-nature,Smithsonian Magazine,Science,Enabled,1.25,,article,,www.smithsonianmag.com,Top Sources; Science
informationisbeautiful.net,https://feeds.feedburner.com/InformationIsBeautiful,Information is Beautiful,Science,Enabled,1.13,,article,,informationisbeautiful.net,Top Sources; Science
sciencedaily.com,https://www.sciencedaily.com/newsfeed.xml,ScienceDaily,Science,Enabled,1.1,,article,,www.sciencedaily.com,Top Sources; Science
futurism.com,https://futurism.com/feed,Futurism,Science,Enabled,0.87,,article,,futurism.com,Top Sources; Science
flowingdata.com,https://flowingdata.com/feed,FlowingData,Science,Enabled,0.85,,article,,flowingdata.com,Top Sources; Science
futurity.org,https://www.futurity.org/feed/,Futurity,Science,Enabled,0.54,,article,,www.futurity.org,Top Sources; Science
syfy.com,https://www.syfy.com/syfy-wire/topic/bad-astronomy/feed,Bad Astronomy,Science,Enabled,0.36,,article,,www.syfy.com,Top Sources; Science
phys.org,https://phys.org/rss-feed/,Phys.org,Science,Enabled,0.23,On,article,,phys.org,Top Sources; Science
bigthink.com,https://feeds.feedburner.com/bigthink/main,Big Think,Science,Enabled,0.2,,article,,bigthink.com,Top Sources; Science
nasa.gov/news,https://www.nasa.gov/rss/dyn/breaking_news.rss,NASA Breaking News,Science,Enabled,0.33,,article,,www.nasa.gov,Top Sources; Science
mindhacks.com,https://mindhacks.com/feed/atom/,Mind Hacks,Science,Enabled,-0.06,,article,,mindhacks.com,Top Sources; Science
fivethirtyeight.com,https://fivethirtyeight.com/science/feed/,FiveThirtyEight - Science,Science,Enabled,-0.16,,article,,fivethirtyeight.com,Top Sources; Science
spectrum.ieee.org,https://feeds2.feedburner.com/IeeeSpectrum,IEEE Spectrum,Science,Enabled,-0.18,,article,,spectrum.ieee.org,Top Sources; Science
espn.com,https://www.espn.com/espn/rss/news,ESPN,Sports,Enabled,17.32,,article,,www.espn.com,Top Sources; Sports
bleacherreport.com,https://bleacherreport.com/articles/feed,Bleacher Report,Sports,Enabled,3.51,,article,,bleacherreport.com,Top Sources; Sports
sports.yahoo.com,https://news.yahoo.com/rss/sports,Yahoo! Sports,Sports,Enabled,2.15,,article,,news.yahoo.com,Top Sources; Sports
cbssports.com,https://www.cbssports.com/rss/headlines/,CBSSports,Sports,Enabled,2.03,,article,,www.cbssports.com,Top Sources; Sports
deadspin.com,https://feeds.feedburner.com/deadspin/,Deadspin,Sports,Enabled,1.49,,article,,deadspin.com,Top Sources; Sports
skysports.com,https://www.skysports.com/rss/11095,SkySports,Sports,Enabled,0.97,,article,,www.skysports.com,Top Sources; Sports
espncricinfo.com,https://www.espncricinfo.com/rss/content/story/feeds/0.xml,ESPN - Cricket,Sports,Enabled,0.93,,article,,www.espncricinfo.com,Top Sources; Sports; Cricket
sbnation.com,https://feeds.sbnation.com/rss/current,SBNation.com,Sports,Enabled,0.1,,article,,www.sbnation.com,Top Sources; Sports
telegraph.co.uk/sport/,https://www.telegraph.co.uk/sport/rss.xml,The Telegraph - Sports,Sports,Enabled,0.05,,article,,www.telegraph.co.uk,Top Sources; Sports
fivethirtyeight.com,https://fivethirtyeight.com/sports/feed/,FiveThirtyEight - Sports,Sports,Enabled,-0.24,,article,,projects.fivethirtyeight.com;fivethirtyeight.com,Top Sources; Sports
espnfc.com,https://www.espn.com/espn/rss/soccer/news,ESPN - Football,Sports,Enabled,-0.42,,article,,www.espn.com,Top Sources; Sports; Football
foxsports.com,https://api.foxsports.com/v1/rss,FOX Sports,Sports,Enabled,-0.69,,article,,www.foxsports.com,Top Sources; Sports
mlbtraderumors.com,https://www.mlbtraderumors.com/feed/atom,MLB Trade Rumors,Sports,Enabled,-0.85,,article,,www.mlbtraderumors.com,Top Sources; Sports; Baseball
blogs.fangraphs.com,https://blogs.fangraphs.com/feed/,FanGraphs Baseball,Sports,Enabled,-0.89,,article,,blogs.fangraphs.com,Top Sources; Sports; Baseball
uproxx.com,https://feeds.feedburner.com/uproxx/withleather,Uproxx - Sports,Sports,Enabled,-1.05,,article,,uproxx.com,Top Sources; Sports
theringer.com,https://www.theringer.com/rss/index.xml,The Ringer,Sports,Enabled,-1.07,,article,,www.theringer.com,Top Sources; Sports
feeds.feedburner.com/arseblog.com,https://feeds.feedburner.com/arseblog,Arseblog,Sports,Enabled,-1.13,,article,,shows.acast.com,Top Sources; Sports
theathletic.com,https://theathletic.com/rss-feed/,The Athletic,Sports,Enabled,-1.22,,article,,theathletic.com,Top Sources; Sports
basketball.realgm.com/news,https://basketball.realgm.com/rss/realgm_nba_wiretap.xml,RealGM Basketball Wiretap,Sports,Enabled,-1.27,,article,,basketball.realgm.com,Top Sources; Sports; Basketball
theathletic.com/nba,https://theathletic.com/nba/?rss=1,The Athletic - NBA,Sports,Enabled,-1.27,,article,,theathletic.com,Top Sources; Sports; Basketball
cnet.com,https://www.cnet.com/rss/news/,CNET News,Technology,Enabled,10.1,On,article,,www.cnet.com,Top Sources; Technology
theverge.com,https://www.theverge.com/rss/full.xml,The Verge,Technology,Enabled,5.96,,article,,www.theverge.com,Top Sources; Technology
engadget.com,https://www.engadget.com/rss-full.xml,Engadget,Technology,Enabled,5.34,,article,,www.engadget.com,Top Sources; Technology
wired.com,https://www.wired.com/feed,Wired,Technology,Enabled,3.55,,article,,www.wired.com,Top Sources; Technology; Culture
lifehacker.com,https://lifehacker.com/rss,Lifehacker,Technology,Enabled,3.19,,article,,lifehacker.com,Top Sources; Technology; Culture
techcrunch.com,https://techcrunch.com/feed/,TechCrunch,Technology,Enabled,3.15,,article,,techcrunch.com,Top Sources; Technology
gizmodo.com,https://gizmodo.com/rss,Gizmodo,Technology,Enabled,2.65,,article,,gizmodo.com,Top Sources; Technology
zdnet.com,https://www.zdnet.com/news/rss.xml,ZDNet,Technology,Enabled,2.3,,article,,www.zdnet.com,Top Sources; Technology
mashable.com,https://feeds.mashable.com/Mashable,Mashable,Technology,Enabled,1.83,On,article,,mashable.com,Top Sources; Technology
techradar.com,https://www.techradar.com/rss,TechRadar,Technology,Enabled,1.7,,article,,www.techradar.com,Top Sources; Technology
digitaltrends.com,https://www.digitaltrends.com/feed/,Digital Trends,Technology,Enabled,1.31,,article,,www.digitaltrends.com,Top Sources; Technology
howtogeek.com,https://feeds.howtogeek.com/HowToGeek,How-To Geek,Technology,Enabled,0.92,,article,,www.cloudsavvyit.com;www.howtogeek.com;www.reviewgeek.com,Top Sources; Technology
gsmarena.com,https://www.gsmarena.com/rss-news-reviews.php3,GSMArena,Technology,Enabled,0.77,,article,,www.gsmarena.com,Top Sources; Technology
androidcentral.com,https://www.androidcentral.com/feed,Android Central,Technology,Enabled,0.48,,article,,www.androidcentral.com,Top Sources; Technology
macrumors.com,https://feeds.macrumors.com/MacRumors-Front,MacRumors,Technology,Enabled,-0.07,,article,,www.macrumors.com,Top Sources; Technology
venturebeat.com,https://venturebeat.com/feed/,VentureBeat,Technology,Enabled,-0.49,,article,,venturebeat.com,Top Sources; Technology; Business
thenextweb.com,https://feeds2.feedburner.com/thenextweb,The Next Web,Technology,Enabled,-0.54,,article,,thenextweb.com,Top Sources; Technology
windowscentral.com,https://feeds.feedburner.com/wmexperts,Windows Central,Technology,Enabled,-0.59,,article,,www.windowscentral.com,Top Sources; Technology
makeuseof.com,https://feeds.feedburner.com/Makeuseof,MakeUseOf,Technology,Enabled,-0.76,,article,,www.makeuseof.com,Top Sources; Technology
hackaday.com,https://hackaday.com/blog/feed/,Hackaday,Technology,Enabled,-0.81,,article,,hackaday.com,Top Sources; Technology
9to5mac.com,https://9to5mac.com/feed/,9to5Mac,Technology,Enabled,-0.83,,article,,9to5mac.com,Top Sources; Technology
spectrum.ieee.org,https://feeds2.feedburner.com/IeeeSpectrum,IEEE Spectrum,Technology,Enabled,-0.87,,article,,spectrum.ieee.org,Top Sources; Technology
thepointsguy.com,https://feeds.feedburner.com/thepointsguy,The Points Guy,Travel,Enabled,9.94,,article,,thepointsguy.com,Top Sources; Travel
lonelyplanet.com,https://www.lonelyplanet.com/articles/news/feed/atom,Lonely Planet,Travel,Enabled,8.91,,article,,www.lonelyplanet.com,Top Sources; Travel
atlasobscura.com,https://www.atlasobscura.com/feeds/latest,Atlas Obscura,Travel,Enabled,6.64,,article,,www.atlasobscura.com,Top Sources; Travel
stuckincustoms.com,https://feeds.feedburner.com/stuckincustoms/EmRA,Stuck in Customs,Travel,Enabled,2.7,,article,,stuckincustoms.com,Top Sources; Travel
onemileatatime.com,https://onemileatatime.com/feed/,One Mile at a Time,Travel,Enabled,2.51,,article,,onemileatatime.com,Top Sources; Travel
skift.com,https://skift.com/feed/,Skift,Travel,Enabled,2.5,On,article,,skift.com,Top Sources; Travel
matadornetwork.com,https://matadornetwork.com/feed/,Matador Network,Travel,Enabled,2.07,,article,,matadornetwork.com,Top Sources; Travel
adventure.com,https://adventure.com/feed/,Adventure,Travel,Enabled,0.63,,article,,adventure.com,Top Sources; Travel
millionmilesecrets.com,https://feeds.feedburner.com/MillionMileSecrets,Million Mile Secrets,Travel,Enabled,0.31,,article,,millionmilesecrets.com,Top Sources; Travel
flyertalk.com,https://www.flyertalk.com/feed,FlyerTalk,Travel,Enabled,0.25,,article,,www.flyertalk.com,Top Sources; Travel
boardingarea.com,https://boardingarea.com/feed/atom/,BoardingArea,Travel,Enabled,0.17,,article,,www.paddleyourownkanoo.com;milesforfamily.com;liveandletsfly.com;travelupdate.com;yourmileagemayvary.net;viewfromthewing.com;youhavebeenupgraded.boardingarea.com;onemileatatime.com;milestomemories.com,Top Sources; Travel
frommers.com,https://www.frommers.com/feed,Frommer's,Travel,Enabled,-1.31,,article,,www.frommers.com,Top Sources; Travel
theguardian.com/us/travel,https://www.theguardian.com/us/travel/rss,The Guardian - Travel,Travel,Enabled,-1.39,On,article,,www.theguardian.com,Top Sources; Travel
secretflying.com,https://www.secretflying.com/feed/,Secret Flying,Travel,Enabled,-1.4,,article,,www.secretflying.com,Top Sources; Travel
travelweekly.com,https://feeds.feedburner.com/TravelWeeklysTopStories,Travel Weekly,Travel,Enabled,-1.42,,article,,www.travelweekly.com,Top Sources; Travel
afar.com,https://feeds.feedburner.com/AfarMagazine,AFAR Magazine,Travel,Enabled,-1.45,,article,,www.afar.com,Top Sources; Travel
blog.ricksteves.com,https://blog.ricksteves.com/feed/,Rick Steves' Travel Blog,Travel,Enabled,-1.52,,article,,blog.ricksteves.com,Top Sources; Travel
theflightdeal.com,https://feeds.feedburner.com/TheFlightDeal,The Flight Deal,Travel,Enabled,-1.54,,article,,www.theflightdeal.com,Top Sources; Travel
